np,Tp1,Tp2,Tp,Ts,speedup,e
1,3697,3062,3379.5,2042.7,0.6044385264,#DIV/0!
2,2529,2545,2537,2042.7,0.805163579,1.4839672982
3,2710,2170,2440,2042.7,0.8371721311,1.2917462182
4,1971,1980,1975.5,2042.7,1.0340167046,0.956136486
5,2566,2057,2311.5,2042.7,0.8837118754,1.1644881774
6,2267,2235,2251,2042.7,0.9074633496,1.1223674548
7,2360,2249,2304.5,2042.7,0.8863961814,1.1495243224
8,2380,2202,2291,2042.7,0.8916193802,1.138919777
9,2498,2155,2326.5,2042.7,0.8780141844,1.1563004847
10,2528,2399,2463.5,2042.7,0.8291861173,1.2288909559
11,3177,2448,2812.5,2042.7,0.7262933333,1.41453958
12,3062,2703,2882.5,2042.7,0.7086556808,1.4484973097
13,3491,2829,3160,2042.7,0.6464240506,1.5925531568
14,3206,2929,3067.5,2042.7,0.6659168704,1.5402803981
15,3732,3037,3384.5,2042.7,0.6035455754,1.7037953968
16,3391,3605,3498,2042.7,0.5839622642,1.7599353796
17,3791,3291,3541,2042.7,0.5768709404,1.779333113
18,4132,3511,3821.5,2042.7,0.5345283266,1.9220322583
19,4138,3931,4034.5,2042.7,0.5063080927,2.0292532215
20,4004,4379,4191.5,2042.7,0.4873434331,2.1073063773
